original_variable_name,renamed_variable,variable_description,derived_variable,input_variable,data_source,broad_learning_context
W_FSTUWT,W_FSTUWT,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT WEIGHT,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT1,W_FSTURWT1,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 1,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT2,W_FSTURWT2,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 2,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT3,W_FSTURWT3,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 3,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT4,W_FSTURWT4,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 4,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT5,W_FSTURWT5,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 5,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT6,W_FSTURWT6,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 6,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT7,W_FSTURWT7,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 7,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT8,W_FSTURWT8,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 8,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT9,W_FSTURWT9,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 9,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT10,W_FSTURWT10,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT11,W_FSTURWT11,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT12,W_FSTURWT12,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT13,W_FSTURWT13,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT14,W_FSTURWT14,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT15,W_FSTURWT15,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT16,W_FSTURWT16,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT17,W_FSTURWT17,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT18,W_FSTURWT18,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT19,W_FSTURWT19,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT20,W_FSTURWT20,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT21,W_FSTURWT21,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT22,W_FSTURWT22,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT23,W_FSTURWT23,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT24,W_FSTURWT24,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT25,W_FSTURWT25,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT26,W_FSTURWT26,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT27,W_FSTURWT27,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT28,W_FSTURWT28,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT29,W_FSTURWT29,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT30,W_FSTURWT30,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT31,W_FSTURWT31,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT32,W_FSTURWT32,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT33,W_FSTURWT33,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT34,W_FSTURWT34,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT35,W_FSTURWT35,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT36,W_FSTURWT36,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT37,W_FSTURWT37,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT38,W_FSTURWT38,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT39,W_FSTURWT39,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT40,W_FSTURWT40,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT41,W_FSTURWT41,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT42,W_FSTURWT42,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT43,W_FSTURWT43,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT44,W_FSTURWT44,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT45,W_FSTURWT45,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT46,W_FSTURWT46,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT47,W_FSTURWT47,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT48,W_FSTURWT48,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT49,W_FSTURWT49,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT50,W_FSTURWT50,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT51,W_FSTURWT51,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT52,W_FSTURWT52,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT53,W_FSTURWT53,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT54,W_FSTURWT54,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT55,W_FSTURWT55,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT56,W_FSTURWT56,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT57,W_FSTURWT57,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT58,W_FSTURWT58,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT59,W_FSTURWT59,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT60,W_FSTURWT60,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT61,W_FSTURWT61,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT62,W_FSTURWT62,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 62,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT63,W_FSTURWT63,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT64,W_FSTURWT64,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 64,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT65,W_FSTURWT65,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT66,W_FSTURWT66,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT67,W_FSTURWT67,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT68,W_FSTURWT68,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT69,W_FSTURWT69,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT70,W_FSTURWT70,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT71,W_FSTURWT71,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT72,W_FSTURWT72,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 72,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT73,W_FSTURWT73,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 73,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT74,W_FSTURWT74,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 74,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT75,W_FSTURWT75,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 75,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT76,W_FSTURWT76,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 76,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT77,W_FSTURWT77,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT78,W_FSTURWT78,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 78,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT79,W_FSTURWT79,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
W_FSTURWT80,W_FSTURWT80,FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT REPLICATE BRR-FAY WEIGHTS 80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UNIT,UNIT,REP_BWGT: RANDOMLY ASSIGNED UNIT NUMBER,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WVARSTRR,WVARSTRR,RANDOMIZED FINAL VARIANCE STRATUM (1-80),Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MATH,PV1MATH,Plausible Value 1 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MATH,PV2MATH,Plausible Value 2 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MATH,PV3MATH,Plausible Value 3 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MATH,PV4MATH,Plausible Value 4 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MATH,PV5MATH,Plausible Value 5 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MATH,PV6MATH,Plausible Value 6 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MATH,PV7MATH,Plausible Value 7 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MATH,PV8MATH,Plausible Value 8 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MATH,PV9MATH,Plausible Value 9 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MATH,PV10MATH,Plausible Value 10 in Mathematics,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1READ,PV1READ,Plausible Value 1 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2READ,PV2READ,Plausible Value 2 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3READ,PV3READ,Plausible Value 3 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4READ,PV4READ,Plausible Value 4 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5READ,PV5READ,Plausible Value 5 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6READ,PV6READ,Plausible Value 6 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7READ,PV7READ,Plausible Value 7 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8READ,PV8READ,Plausible Value 8 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9READ,PV9READ,Plausible Value 9 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10READ,PV10READ,Plausible Value 10 in Reading,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1SCIE,PV1SCIE,Plausible Value 1 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2SCIE,PV2SCIE,Plausible Value 2 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3SCIE,PV3SCIE,Plausible Value 3 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4SCIE,PV4SCIE,Plausible Value 4 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5SCIE,PV5SCIE,Plausible Value 5 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6SCIE,PV6SCIE,Plausible Value 6 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7SCIE,PV7SCIE,Plausible Value 7 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8SCIE,PV8SCIE,Plausible Value 8 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9SCIE,PV9SCIE,Plausible Value 9 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10SCIE,PV10SCIE,Plausible Value 10 in Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MCCR,PV1MCCR,Plausible Value 1 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MCCR,PV2MCCR,Plausible Value 2 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MCCR,PV3MCCR,Plausible Value 3 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MCCR,PV4MCCR,Plausible Value 4 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MCCR,PV5MCCR,Plausible Value 5 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MCCR,PV6MCCR,Plausible Value 6 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MCCR,PV7MCCR,Plausible Value 7 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MCCR,PV8MCCR,Plausible Value 8 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MCCR,PV9MCCR,Plausible Value 9 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MCCR,PV10MCCR,Plausible Value 10 in Content Subscale of Mathematics - Change and Relationships,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MCQN,PV1MCQN,Plausible Value 1 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MCQN,PV2MCQN,Plausible Value 2 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MCQN,PV3MCQN,Plausible Value 3 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MCQN,PV4MCQN,Plausible Value 4 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MCQN,PV5MCQN,Plausible Value 5 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MCQN,PV6MCQN,Plausible Value 6 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MCQN,PV7MCQN,Plausible Value 7 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MCQN,PV8MCQN,Plausible Value 8 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MCQN,PV9MCQN,Plausible Value 9 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MCQN,PV10MCQN,Plausible Value 10 in Content Subscale of Mathematics - Quantity,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MCSS,PV1MCSS,Plausible Value 1 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MCSS,PV2MCSS,Plausible Value 2 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MCSS,PV3MCSS,Plausible Value 3 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MCSS,PV4MCSS,Plausible Value 4 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MCSS,PV5MCSS,Plausible Value 5 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MCSS,PV6MCSS,Plausible Value 6 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MCSS,PV7MCSS,Plausible Value 7 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MCSS,PV8MCSS,Plausible Value 8 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MCSS,PV9MCSS,Plausible Value 9 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MCSS,PV10MCSS,Plausible Value 10 in Content Subscale of Mathematics - Space and Shape,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MCUD,PV1MCUD,Plausible Value 1 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MCUD,PV2MCUD,Plausible Value 2 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MCUD,PV3MCUD,Plausible Value 3 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MCUD,PV4MCUD,Plausible Value 4 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MCUD,PV5MCUD,Plausible Value 5 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MCUD,PV6MCUD,Plausible Value 6 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MCUD,PV7MCUD,Plausible Value 7 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MCUD,PV8MCUD,Plausible Value 8 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MCUD,PV9MCUD,Plausible Value 9 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MCUD,PV10MCUD,Plausible Value 10 in Content Subscale of Mathematics - Uncertainty and Data,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV1MPEM,PV1MPEM,"Plausible Value 1 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV2MPEM,PV2MPEM,"Plausible Value 2 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV3MPEM,PV3MPEM,"Plausible Value 3 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV4MPEM,PV4MPEM,"Plausible Value 4 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV5MPEM,PV5MPEM,"Plausible Value 5 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV6MPEM,PV6MPEM,"Plausible Value 6 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV7MPEM,PV7MPEM,"Plausible Value 7 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV8MPEM,PV8MPEM,"Plausible Value 8 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV9MPEM,PV9MPEM,"Plausible Value 9 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
PV10MPEM,PV10MPEM,"Plausible Value 10 in Process Subscale of Mathematics - Employing Mathematical Concepts, Facts, and Procedures",Not Applicable,Not Applicable,Not Applicable,Not Applicable
